Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
2013-01-01	0.309812	6.246918	6.598226	50.861748	7.944014	0.601015
2013-01-02	0.279095	4.311915	5.256262	61.906869	7.964248	0.399484
2013-01-03	1.452761	6.699951	7.068634	16.219152	7.986134	0.652967
2013-01-04	3.384287	8.741054	9.066483	18.356296	8.009646	0.879448
2013-01-05	4.787199	7.305313	7.411057	23.635870	8.034757	0.723064
2013-01-06	4.108928	6.384079	6.247496	22.719128	8.061439	0.624763
2013-01-07	1.132185	5.529739	5.551294	24.562124	8.089661	0.534637
2013-01-08	4.559265	5.771708	5.938311	10.839878	8.119392	0.562695
2013-01-09	7.377800	5.721217	6.234267	22.489049	8.150600	0.559382
2013-01-10	3.193084	3.256012	4.159744	65.206788	8.183251	0.300636
2013-01-11	0.713558	-1.340139	-0.641481	81.078519	8.217311	0.000000
2013-01-12	0.084552	-2.643280	-1.982557	102.473206	8.252745	0.000000
2013-01-13	0.366169	-2.692413	-2.238961	68.294792	8.289518	0.000000
2013-01-14	0.877448	-3.501226	-2.662927	98.773704	8.327592	0.000000
2013-01-15	0.038106	-3.929962	-2.875862	116.595116	8.366933	0.000000
2013-01-16	2.398392	-3.486115	-2.844828	48.050483	8.407503	0.000000
2013-01-17	1.978740	-2.795939	-2.050860	48.412937	8.449266	0.000000
2013-01-18	0.340247	-3.955526	-3.710980	67.279925	8.492184	0.000000
2013-01-19	0.133836	-5.937429	-5.488843	70.586696	8.536220	0.000000
2013-01-20	0.451706	-5.758128	-4.801975	78.436146	8.581338	0.000000
2013-01-21	7.191609	-6.340912	-5.956655	37.625038	8.627500	0.000000
2013-01-22	0.184822	-8.363739	-8.137763	89.802251	8.674671	0.000000
2013-01-23	0.132249	-8.006129	-7.185987	95.384630	8.722815	0.000000
2013-01-24	0.521968	-6.185984	-5.411226	67.193866	8.771896	0.000000
2013-01-25	0.193330	-7.553558	-7.915624	86.628084	8.821878	0.000000
2013-01-26	0.011558	-8.456538	-7.280957	155.145660	8.872727	0.000000
2013-01-27	1.335277	-0.925710	0.267017	55.024311	8.924409	0.000000
2013-01-28	0.014612	2.030914	2.693229	138.074514	8.976891	0.195421
2013-01-29	3.197145	5.709747	6.613898	41.159913	9.030139	0.618368
2013-01-30	4.097138	9.178761	10.964130	38.111924	9.084122	1.052946
2013-01-31	0.807836	5.645416	6.414689	122.172454	9.138809	0.617998
2013-02-01	4.546784	4.312617	5.297496	77.338576	9.194168	0.461260
2013-02-02	2.804874	1.272578	2.243091	77.762465	9.250171	0.119930
2013-02-03	3.083173	1.086019	2.133476	110.311713	9.306787	0.101216
2013-02-04	4.256608	3.446187	4.552499	35.986027	9.363989	0.366360
2013-02-05	1.908235	2.416122	3.962744	108.167778	9.421750	0.248657
2013-02-06	0.027058	-0.605148	1.373722	143.955556	9.480042	0.000000
2013-02-07	2.815623	-0.394725	1.658937	152.667176	9.538841	0.000000
2013-02-08	1.465848	-1.649211	-0.039498	130.631979	9.598121	0.000000
2013-02-09	1.336830	-1.335871	-0.015004	145.155764	9.657858	0.000000
2013-02-10	0.009452	-2.304209	-0.638792	208.233495	9.718030	0.000000
2013-02-11	0.019538	-2.436111	-1.347507	121.484907	9.778613	0.000000
2013-02-12	0.739722	-1.712545	-0.908124	110.222245	9.839586	0.000000
2013-02-13	1.033365	-1.206660	-0.114591	140.405961	9.900928	0.000000
2013-02-14	0.016457	-1.930944	-1.246867	129.467870	9.962619	0.000000
2013-02-15	0.029000	-0.330368	1.866122	189.919213	10.024641	0.000000
2013-02-16	1.451219	1.378321	3.256164	100.972361	10.086973	0.142880
2013-02-17	0.498975	0.693344	1.607168	83.370503	10.149600	0.067117
2013-02-18	0.102422	0.373708	1.472032	109.108067	10.212503	0.034036
2013-02-19	5.072384	0.280202	1.233202	72.752523	10.275667	0.024886
2013-02-20	1.485944	-1.760015	-0.862694	193.152963	10.339075	0.000000
2013-02-21	1.297114	-3.511393	-2.475673	146.795683	10.402712	0.000000
2013-02-22	2.193252	-4.301137	-3.274701	191.317002	10.466565	0.000000
2013-02-23	9.136639	-3.750570	-3.720234	91.888131	10.530620	0.000000
2013-02-24	4.677314	-0.517151	0.106314	91.428409	10.594862	0.000000
2013-02-25	4.343931	0.892619	1.128653	81.441557	10.659281	0.093272
2013-02-26	0.785380	0.512868	0.817160	59.728791	10.723863	0.050765
2013-02-27	0.659164	0.179281	0.550236	98.855637	10.788597	0.015926
2013-02-28	0.102437	0.509705	1.395495	147.159086	10.853472	0.051027
2013-03-01	0.304996	0.372386	1.877910	138.835498	10.918478	0.036246
2013-03-02	0.001088	-2.010920	0.788303	299.849259	10.983605	0.000000
2013-03-03	0.153520	0.567032	2.281325	168.861215	11.048842	0.058461
2013-03-04	0.011947	0.486760	2.967994	317.051782	11.114181	0.049652
2013-03-05	0.000858	1.772334	5.267955	340.156065	11.179613	0.209266
2013-03-06	0.000000	3.620539	7.365309	342.685926	11.245129	0.464703
2013-03-07	1.955409	3.985764	6.140513	156.772350	11.310721	0.519966
2013-03-08	0.264456	3.147151	3.542466	105.038171	11.376382	0.402482
2013-03-09	1.664004	0.234441	0.525136	53.047494	11.442103	0.022741
2013-03-10	6.192014	0.842885	3.052749	104.048669	11.507879	0.094497
2013-03-11	0.812556	-3.501190	-2.934816	177.411458	11.573700	0.000000
2013-03-12	4.413305	-4.188273	-3.595081	147.989676	11.639562	0.000000
2013-03-13	0.693111	-5.076355	-3.665073	239.022593	11.705456	0.000000
2013-03-14	0.716657	-4.633158	-1.812502	341.481250	11.771378	0.000000
2013-03-15	0.709725	-4.164551	-2.302481	338.001574	11.837320	0.000000
2013-03-16	0.000006	-3.107869	-0.565531	403.003704	11.903278	0.000000
2013-03-17	0.061164	0.514720	2.148764	301.168380	11.969243	0.056887
2013-03-18	8.250193	0.954895	1.869178	137.601169	12.035212	0.113488
2013-03-19	3.812265	-0.624512	0.364432	218.015764	12.101179	0.000000
2013-03-20	4.513606	-1.487279	-0.615030	237.383681	12.167136	0.000000
2013-03-21	1.933193	-1.320699	-0.149373	228.950532	12.233080	0.000000
2013-03-22	0.411660	-3.854512	-2.065331	198.124398	12.299005	0.000000
2013-03-23	0.074220	-5.913635	-5.514647	389.562083	12.364904	0.000000
2013-03-24	0.000852	-6.358129	-4.901370	468.618287	12.430772	0.000000
2013-03-25	0.001938	-4.211202	-2.942070	428.895046	12.496604	0.000000
2013-03-26	0.000850	-3.471125	-2.130297	459.218148	12.562394	0.000000
2013-03-27	0.084316	-2.455521	-1.285851	358.763264	12.628137	0.000000
2013-03-28	0.329433	-0.864044	0.293587	240.243356	12.693825	0.000000
2013-03-29	8.135061	-0.242844	0.860532	242.499259	12.759454	0.000000
2013-03-30	0.043314	-0.887110	0.427570	296.414838	12.825018	0.000000
2013-03-31	1.013966	-1.566167	-0.170463	251.973495	12.890509	0.000000
2013-04-01	0.402925	-0.757004	0.356021	289.177338	12.955923	0.000000
2013-04-02	0.103513	-1.179865	-0.015717	258.077593	13.021251	0.000000
2013-04-03	0.555896	-0.068792	0.667757	191.940937	13.086487	0.000000
2013-04-04	0.215700	0.418894	1.085230	186.573588	13.151625	0.049744
2013-04-05	0.426074	0.978622	1.589407	141.124907	13.216657	0.128067
2013-04-06	1.543536	1.105164	1.911688	184.240220	13.281575	0.147270
2013-04-07	0.215044	1.718246	4.231722	400.035694	13.346372	0.241387
2013-04-08	0.000000	2.724004	4.848147	444.968519	13.411039	0.404278
2013-04-09	2.778393	5.505096	7.266790	400.306435	13.475569	0.886187
2013-04-10	2.445183	6.260325	7.901673	302.083681	13.539951	1.026820
