Date	MowHeight[m]	Fertilizer[gm-2]	Irrigation[mm]	Seeds_PFT1	Seeds_PFT2	Seeds_PFT3	Data source
2013-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2013-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2013-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2013-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2014-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2014-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2014-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2014-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2015-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2015-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2015-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2015-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2016-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2016-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2016-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2016-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2017-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2017-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2017-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2017-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2018-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2018-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2018-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2018-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2019-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2019-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2019-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2019-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2020-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2020-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2020-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2020-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2021-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2021-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2021-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2021-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2022-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2022-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2022-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2022-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2023-04-01	NaN	6.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2023-05-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
2023-06-15	NaN	3.5	NaN	NaN	NaN	NaN	event assumed (fill mode: like mowing, date: schedule)
2023-09-01	0.05	NaN	NaN	NaN	NaN	NaN	event assumed (fill mode: default, date: schedule)
