year	month	data_source	time_stamp	info
2012	12	https://cds.climate.copernicus.eu/api	2024-10-05T14:58+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T15:31+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T16:07+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T16:41+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T17:15+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T17:45+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T18:16+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T18:46+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T19:19+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T19:49+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T20:17+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T20:52+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T21:22+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T21:55+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T22:21+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T22:53+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2018	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T23:21+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2018	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T23:50+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
