Silt	Clay	Sand
0.5627	0.2729	0.1649

Layer	FC[V%]	PWP[V%]	POR[V%]	KS[mm/d]
1.0000	42.2050	14.7700	48.7950	159.6370
2.0000	39.0250	14.4450	45.1400	186.3895
3.0000	37.9900	14.8100	43.3200	187.9130
4.0000	40.3500	14.9400	43.9500	59.4020
5.0000	40.3500	14.9400	43.9500	59.4020
6.0000	40.3500	14.9400	43.9500	59.4020
7.0000	39.5700	15.6400	42.5800	57.8500
8.0000	39.5700	15.6400	42.5800	57.8500
9.0000	39.5700	15.6400	42.5800	57.8500
10.0000	39.5700	15.6400	42.5800	57.8500
11.0000	38.5400	15.5100	41.4400	60.5770
12.0000	38.5400	15.5100	41.4400	60.5770
13.0000	38.5400	15.5100	41.4400	60.5770
14.0000	38.5400	15.5100	41.4400	60.5770
15.0000	38.5400	15.5100	41.4400	60.5770
16.0000	38.5400	15.5100	41.4400	60.5770
17.0000	38.5400	15.5100	41.4400	60.5770
18.0000	38.5400	15.5100	41.4400	60.5770
19.0000	38.5400	15.5100	41.4400	60.5770
20.0000	38.5400	15.5100	41.4400	60.5770
